date;sigma;ret;retSD;VolumeExch;AdrActCnt;DiffMean;FeeMeanUSD;HashRate;IssContPctAnn;IssTotUSD;NVTAdj;PriceBTC;PriceUSD;SplyCur;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
14.Feb.16;0,012053868;0,035746657;2,965575592;74469800;496649;1,44116E+11;0,07648937;1189235,202;9,957722895;1685525,278;34,65791378;1;406,1506695;15211811,13;530643;438913,0641;178264834,8;0,213355717;0,030429442;0,417748122;0;25,4;0;8707;0
15.Feb.16;0,018953866;-0,018298251;-0,965409956;74070496;498129;1,44116E+11;0,076625;1088938,257;9,1156378;1517216,951;23,92094894;1;399,2676186;15215611,13;529418;636078,9101;253965711,7;0,207961736;0,037321736;0,291655498;0;25,4;0;11516;0
16.Feb.16;0,009247154;0,014983221;1,620306207;73093104;481206;1,44116E+11;0,079848057;988641,3123;8,274163491;1404271,818;22,83989301;1;407,0353095;15219061,13;482884;666336,7962;271222604;0,237855696;0,055504744;0,269494883;-0,000368643;24,110001;-0,025501995;11652;0,012816672
17.Feb.16;0,020822533;0,021020702;1,009517041;83193600;537228;1,44116E+11;0,079938312;1110430,459;9,291078854;1609380,939;23,76856172;1;415,3241134;15222936,13;552384;640465,1789;266000632,6;0,192538225;0,043679416;0,312757151;8,88168E-05;22,309999;0,002645723;11247;0,014648868
18.Feb.16;0,015139759;0,013827192;0,913303365;76752600;496326;1,44116E+11;0,085899394;1210727,404;10,12746228;1779948,826;29,73581836;1;421,289663;15227161,13;510136;512081,455;215734623,6;0,236636951;0,054103301;0,355773212;8,90089E-05;21,639999;0,012309363;22016;-0,005065804
19.Feb.16;0,008799383;-0,00459978;-0,522738989;55711300;523596;1,5347E+11;0,088934482;1106210,058;8,687174703;1521146,166;25,28032671;1;419,6265285;15230786,13;516073;602475,8426;252814846,4;0,205297182;0,043258309;0,220364036;8,91049E-05;20,530001;0,00350092;15488;0,000542441
20.Feb.16;0,024634977;0,036242264;1,47117097;93992096;489626;1,63492E+11;0,083907481;1219082,137;8,984520356;1650734,1;28,41485929;1;440,1957601;15234536,13;515343;536146,8088;236009552;0,24699704;0,058825781;0,398255474;0;20,530001;0;11468;0
21.Feb.16;0,030555575;0,00235007;0,076911336;89820704;531113;1,63492E+11;0,085806209;1040283,424;7,66518064;1403899,561;27,72169481;1;438,7186127;15237736,13;573398;549668,2738;241149702,5;0,223845556;0,045266798;0,372468649;0;20,530001;0;11411;0
22.Feb.16;0,009785491;-0,002828663;-0,289067016;85385200;537212;1,63492E+11;0,084328748;1032156,209;7,603712074;1389174,562;28,75368376;1;437,5352951;15240911,13;574027;530050,7323;231915903,6;0,231541093;0,048847617;0,368173112;0;19,379999;-0,017132269;11126;0,010883997
23.Feb.16;0,026044611;-0,040797276;-1,566438291;85244896;550408;1,63492E+11;0,082891637;1105301,138;8,140741744;1428110,815;25,36174859;1;420,0325926;15244311,13;565922;601074,9251;252471059,1;0,241045436;0,034137409;0,337642248;8,79616E-05;20,98;0,010527279;10140;-0,0109276
24.Feb.16;0,018713798;0,009433698;0,50410386;67743696;466104;1,63492E+11;0,087501275;959011,2812;7,061924044;1250785,582;28,01246966;1;423,9951125;15247261,13;472190;544302,638;230781658,2;0,233317461;0,064684435;0,293540208;0,000187738;20,719999;0,013328113;9726;0,006362826
25.Feb.16;0,012150532;-0,001177052;-0,096872496;70798000;529925;1,63492E+11;0,089588405;1259718,208;9,273899254;1643352,122;28,25534811;1;424,0908703;15251136,13;528877;539761,0419;228907730;0,248708534;0,057297192;0,309286191;-8,80663E-05;19,110001;-0,00040373;9689;0,010212342
26.Feb.16;0,013609614;0,017554549;1,289863834;61486000;476826;1,63492E+11;0,089823359;1137809,995;8,374503259;1511167,847;30,64355677;1;431,762242;15254636,13;481997;497808,9276;214935098,6;0,260514432;0,033211789;0,28606775;0;19,809999;-0,014971801;8563;-0,003535745
27.Feb.16;0,010042801;-0,000739577;-0,073642466;41893600;467543;1,63492E+11;0,088738252;1194700,494;8,791110552;1591083,334;32,45248844;1;432,947846;15258311,13;464758;470173,8408;203560751,6;0,199741013;0,030522412;0,205803917;0;19,809999;0;7438;0
28.Feb.16;0,019469874;0,002147633;0,110305452;53033400;497556;1,63492E+11;0,082800678;1089046,709;8,011906367;1450892,58;28,44906186;1;433,1022627;15261661,13;531671;536455,6908;232340173,5;0,182839258;0,035739841;0,228257555;0;19,809999;0;7501;0
29.Feb.16;0,014697442;0,009780366;0,665446828;60694700;563571;1,63492E+11;0,091521016;1080919,495;7,950383901;1455604,776;23,83085072;1;437,7758726;15264986,13;597896;640555,6525;280419809,7;0,210989287;0,049327516;0,216442269;-0,000185813;20,549999;0,011492974;8818;-0,007681717
01.Mar.16;0,011200133;-0,00641439;-0,572706627;74895800;561876;1,63492E+11;0,094107547;1145937,209;8,426656593;1525647,732;19,39687308;1;432,8078672;15268511,13;615167;787163,5323;340690569,5;0,221576439;0,058802577;0,21983526;0,000185526;17,700001;-0,002921843;9774;0,021076317
02.Mar.16;0,011187923;-0,025934967;-2,318121736;74955296;553815;1,63492E+11;0,145294862;1275972,637;9,380461556;1660588,173;26,35838057;1;423,0797894;15272436,13;584459;579414,8123;245138696,8;0,198885266;0,070295691;0,305766886;-9,7458E-05;17,09;0,008740041;9169;0,004970929
03.Mar.16;0,00940816;-0,005345583;-0,568185773;100484000;575225;1,63492E+11;0,106386609;1097173,923;8,064219892;1415032,272;21,51918701;1;419,2688213;15275811,13;598521;709869,3424;297626082,5;0,26337361;0,070235489;0,33761826;-9,84405E-05;16,700001;0,013048014;9718;0,003920588
04.Mar.16;0,017761895;-0,026178877;-1,473878613;90856096;513898;1,63165E+11;0,101076068;1257200,656;9,256571041;1580961,848;19,96450688;1;407,9901543;15279686,11;463276;765342,5256;312252215,1;0,258342627;0,056906186;0,290970221;8,76835E-05;16,860001;0,00989206;8221;0,002994494
05.Mar.16;0,025885492;-0,025169259;-0,972330696;135384992;530671;1,58427E+11;0,105194483;1181318,852;8,955774014;1489929,202;18,45666396;1;397,3144539;15283436,11;558667;828071,4298;329004748;0,247457351;0,050138372;0,411498596;0;16,860001;0;7319;0
06.Mar.16;0,025991673;0,017792435;0,684543649;91212496;409059;1,58427E+11;0,097387479;1165567,934;8,834224998;1493709,194;30,48539636;1;403,7051875;15287136,11;423889;501457,6794;202441066,5;0,202502879;0,045518426;0,450563206;0;16,860001;0;7807;0
07.Mar.16;0,013222522;0,015959856;1,207020609;85762400;421465;1,58427E+11;0,099724858;1047436,049;7,937138004;1373987,642;22,19657563;1;413,2293662;15290461,11;429041;688865,7679;284659564,6;0,228416229;0,052133221;0,301280584;0;17,35;-0,005289973;9903;0,002826507
08.Mar.16;0,008772616;-0,001182961;-0,134846976;70311696;460732;1,58427E+11;0,091291992;1212820,688;9,18805685;1583989,92;29,01764083;1;411,4259532;15294311,11;479506;527069,4197;216850038,4;0,22792348;0,063741098;0,324241105;0,000187926;18,67;-0,000871184;9547;-0,008862925
09.Mar.16;0,007411201;0,002340876;0,315856503;70012304;504399;1,58427E+11;0,118854505;1323077,115;10,02058297;1732670,955;29,63262045;1;412,5407035;15298511,11;427684;516272,6375;212983477,1;0,259198374;0,069134903;0,328721763;0,000187222;18,34;-0,004367339;8667;0,003938857
10.Mar.16;0,006311556;0,005746106;0,91041039;81022896;445273;1,58427E+11;0,090803697;1220696,147;9,242839577;1613321,099;29,5515237;1;416,3409287;15302386,11;458120;517820,5452;215589886,7;0,201024633;0,080082429;0,375819558;0,000186567;18,049999;0,012180804;8231;-0,000703422
